time,values
1635724800000,61342.725000000006
1635725700000,61549.645
1635726600000,61475.0
1635727500000,61463.104999999996
1635728400000,61629.765
1635729300000,61667.65
1635730200000,61502.835
1635731100000,61313.94
1635732000000,61250.725
1635732900000,60642.755000000005
1635733800000,60314.35
1635734700000,60462.465
1635735600000,60462.854999999996
1635736500000,60323.81
1635737400000,60335.375
1635738300000,60007.630000000005
1635739200000,59838.0
1635740100000,60230.09
1635741000000,60489.38
1635741900000,60589.055
1635742800000,60638.729999999996
1635743700000,60743.57
1635744600000,60697.185
1635745500000,60664.520000000004
1635746400000,60496.64
1635747300000,60456.985
1635748200000,60770.92
1635749100000,60754.655
1635750000000,61438.035
1635750900000,62091.854999999996
1635751800000,62062.215
1635752700000,62066.915
1635753600000,62243.869999999995
1635754500000,62136.01
1635755400000,61948.0
1635756300000,61775.085
1635757200000,61969.055
1635758100000,62020.44
1635759000000,62056.91
1635759900000,62024.91
1635760800000,61998.645000000004
1635761700000,61977.945
1635762600000,62059.96
1635763500000,62122.085
1635764400000,62288.39
1635765300000,62115.475
1635766200000,61972.425
1635767100000,61924.525
1635768000000,61991.505000000005
1635768900000,61839.055
1635769800000,61828.520000000004
1635770700000,61809.08
1635771600000,61807.395000000004
1635772500000,61796.84
1635773400000,61880.865000000005
1635774300000,61890.880000000005
1635775200000,61860.86
1635776100000,61798.485
1635777000000,61704.955
1635777900000,61521.850000000006
1635778800000,61476.415
1635779700000,61508.2
1635780600000,61522.05
1635781500000,61503.350000000006
1635782400000,61476.229999999996
1635783300000,61402.5
1635784200000,61235.3
1635785100000,61097.205
1635786000000,60901.81
1635786900000,60895.850000000006
1635787800000,60867.765
1635788700000,60836.08
1635789600000,60667.65
1635790500000,60677.35
1635791400000,60652.21000000001
1635792300000,60642.58
1635793200000,60742.49
1635794100000,61033.33
1635795000000,60960.435
1635795900000,61156.795
1635796800000,61193.990000000005
1635797700000,61069.935
1635798600000,60739.5
1635799500000,60669.915
1635800400000,60551.380000000005
1635801300000,60608.695
1635802200000,60618.07
1635803100000,60790.39
1635804000000,60808.54
1635804900000,60951.555
1635805800000,61067.155
1635806700000,61129.695
1635807600000,61135.270000000004
1635808500000,61087.96000000001
1635809400000,61078.619999999995
1635810300000,61020.835
1635811200000,60997.465
1635812100000,61289.5
1635813000000,60992.545
1635813900000,60788.96
1635814800000,60887.44
1635815700000,61237.854999999996
1635816600000,61249.68
1635817500000,61216.34
1635818400000,61263.75
1635819300000,61167.955
1635820200000,61031.975
1635821100000,60917.35
1635822000000,60904.845
1635822900000,60907.945
1635823800000,61003.985
1635824700000,61076.509999999995
1635825600000,61115.955
1635826500000,61288.56
1635827400000,61425.825
1635828300000,61445.229999999996
1635829200000,61365.315
1635830100000,61383.975
1635831000000,61576.255
1635831900000,61702.725000000006
1635832800000,61684.770000000004
1635833700000,61630.66
1635834600000,61690.445
1635835500000,61686.869999999995
1635836400000,61710.6
1635837300000,61720.0
1635838200000,61580.36
1635839100000,61579.665
1635840000000,61477.134999999995
1635840900000,61512.649999999994
1635841800000,61450.41
1635842700000,61634.965
1635843600000,61547.05
1635844500000,61615.335
1635845400000,62180.215
1635846300000,62912.09
1635847200000,63245.005000000005
1635848100000,63375.175
1635849000000,63236.259999999995
1635849900000,63117.884999999995
1635850800000,63197.705
1635851700000,63275.1
1635852600000,63189.395
1635853500000,63037.645000000004
1635854400000,63090.735
1635855300000,63134.365
1635856200000,63133.005000000005
1635857100000,63057.185
1635858000000,63081.795
1635858900000,63200.285
1635859800000,63183.0
1635860700000,63316.78
1635861600000,63528.07
1635862500000,63191.9
1635863400000,63418.244999999995
1635864300000,63292.465
1635865200000,63403.725
1635866100000,63464.655
1635867000000,63652.155
1635867900000,64077.54
1635868800000,63997.535
1635869700000,63751.915
1635870600000,63766.405
1635871500000,63721.72
1635872400000,63659.295
1635873300000,63623.91
1635874200000,63523.965
1635875100000,63464.0
1635876000000,63430.965
1635876900000,63320.255000000005
1635877800000,63356.244999999995
1635878700000,63297.119999999995
1635879600000,63321.64
1635880500000,63344.37
1635881400000,63524.81
1635882300000,63504.795
1635883200000,63471.5
1635884100000,63242.185
1635885000000,63169.5
1635885900000,63153.32
1635886800000,63039.315
1635887700000,63044.005000000005
1635888600000,63060.14
1635889500000,63040.29
1635890400000,63023.145000000004
1635891300000,63043.47
1635892200000,63066.79
1635893100000,62951.53999999999
1635894000000,62858.555
1635894900000,62685.494999999995
1635895800000,62902.285
1635896700000,63129.195
1635897600000,63209.71
1635898500000,62998.585
1635899400000,63029.899999999994
1635900300000,63252.134999999995
1635901200000,63348.305
1635902100000,63252.29
1635903000000,63192.4
1635903900000,63082.305
1635904800000,62930.32
1635905700000,62902.35
1635906600000,63014.735
1635907500000,63117.2
1635908400000,63075.1
1635909300000,63014.44
1635910200000,63087.95
1635911100000,63130.270000000004
1635912000000,63110.955
