time,values
1635724800000,54.58
1635725700000,54.81
1635726600000,54.55
1635727500000,54.495000000000005
1635728400000,54.67
1635729300000,54.515
1635730200000,54.265
1635731100000,54.129999999999995
1635732000000,54.055
1635732900000,53.515
1635733800000,52.95
1635734700000,53.269999999999996
1635735600000,53.3
1635736500000,53.095
1635737400000,53.125
1635738300000,52.78
1635739200000,52.625
1635740100000,52.93
1635741000000,53.144999999999996
1635741900000,53.195
1635742800000,53.19
1635743700000,53.275
1635744600000,53.325
1635745500000,53.29
1635746400000,53.165
1635747300000,53.120000000000005
1635748200000,53.435
1635749100000,53.43
1635750000000,53.870000000000005
1635750900000,54.19
1635751800000,54.105000000000004
1635752700000,54.275
1635753600000,54.394999999999996
1635754500000,54.555
1635755400000,54.55500000000001
1635756300000,54.365
1635757200000,54.475
1635758100000,54.605000000000004
1635759000000,54.665
1635759900000,54.625
1635760800000,54.545
1635761700000,54.28
1635762600000,54.269999999999996
1635763500000,54.22
1635764400000,54.285
1635765300000,54.235
1635766200000,54.025000000000006
1635767100000,53.915
1635768000000,54.13
1635768900000,54.05
1635769800000,53.805
1635770700000,53.85
1635771600000,53.870000000000005
1635772500000,53.900000000000006
1635773400000,53.925
1635774300000,54.045
1635775200000,54.05
1635776100000,54.0
1635777000000,53.885000000000005
1635777900000,53.655
1635778800000,53.695
1635779700000,53.805
1635780600000,53.97
1635781500000,53.84
1635782400000,53.74
1635783300000,53.870000000000005
1635784200000,53.730000000000004
1635785100000,53.64
1635786000000,53.379999999999995
1635786900000,53.379999999999995
1635787800000,53.405
1635788700000,53.415
1635789600000,53.205
1635790500000,53.265
1635791400000,53.22
1635792300000,53.265
1635793200000,53.375
1635794100000,53.66
1635795000000,53.650000000000006
1635795900000,53.760000000000005
1635796800000,53.805
1635797700000,53.730000000000004
1635798600000,53.575
1635799500000,53.445
1635800400000,53.335
1635801300000,53.465
1635802200000,53.49
1635803100000,53.61
1635804000000,53.555
1635804900000,53.629999999999995
1635805800000,53.8
1635806700000,53.870000000000005
1635807600000,53.86
1635808500000,53.91
1635809400000,53.8
1635810300000,53.879999999999995
1635811200000,53.795
1635812100000,53.87
1635813000000,53.545
1635813900000,53.36
1635814800000,53.394999999999996
1635815700000,53.620000000000005
1635816600000,53.614999999999995
1635817500000,53.46
1635818400000,53.620000000000005
1635819300000,53.540000000000006
1635820200000,53.5
1635821100000,53.46
1635822000000,53.425
1635822900000,53.535
1635823800000,53.7
1635824700000,53.765
1635825600000,53.715
1635826500000,53.67
1635827400000,53.875
1635828300000,53.94
1635829200000,53.96
1635830100000,53.815
1635831000000,53.974999999999994
1635831900000,54.015
1635832800000,54.015
1635833700000,53.935
1635834600000,54.005
1635835500000,54.004999999999995
1635836400000,53.989999999999995
1635837300000,53.86
1635838200000,53.855000000000004
1635839100000,53.765
1635840000000,53.665
1635840900000,53.675
1635841800000,53.645
1635842700000,53.715
1635843600000,53.709999999999994
1635844500000,53.76
1635845400000,54.114999999999995
1635846300000,54.49
1635847200000,54.7
1635848100000,54.754999999999995
1635849000000,54.644999999999996
1635849900000,54.465
1635850800000,54.495
1635851700000,54.540000000000006
1635852600000,54.465
1635853500000,54.245
1635854400000,54.269999999999996
1635855300000,54.285
1635856200000,54.25
1635857100000,54.21
1635858000000,54.195
1635858900000,54.335
1635859800000,54.325
1635860700000,54.465
1635861600000,54.525000000000006
1635862500000,54.375
1635863400000,54.519999999999996
1635864300000,54.425
1635865200000,54.504999999999995
1635866100000,54.545
1635867000000,54.644999999999996
1635867900000,54.8
1635868800000,54.730000000000004
1635869700000,54.675
1635870600000,55.120000000000005
1635871500000,55.32
1635872400000,55.04
1635873300000,55.07
1635874200000,54.88
1635875100000,54.805
1635876000000,54.77
1635876900000,54.79
1635877800000,54.849999999999994
1635878700000,54.805
1635879600000,54.769999999999996
1635880500000,54.705
1635881400000,54.769999999999996
1635882300000,54.72
1635883200000,54.730000000000004
1635884100000,54.89
1635885000000,54.61
1635885900000,54.56
1635886800000,54.47
1635887700000,54.45
1635888600000,54.489999999999995
1635889500000,54.445
1635890400000,54.489999999999995
1635891300000,54.515
1635892200000,54.57
1635893100000,54.665
1635894000000,54.755
1635894900000,54.79
1635895800000,55.05
1635896700000,55.315
1635897600000,55.045
1635898500000,54.695
1635899400000,54.685
1635900300000,55.055
1635901200000,55.41
1635902100000,55.305
1635903000000,55.17
1635903900000,55.225
1635904800000,54.94
1635905700000,54.845
1635906600000,54.92
1635907500000,55.005
1635908400000,54.955
1635909300000,54.735
1635910200000,54.7
1635911100000,54.68
1635912000000,54.675
1635912900000,54.709999999999994
1635913800000,54.625
1635914700000,55.66
1635915600000,56.5
1635916500000,56.39
1635917400000,56.13
1635918300000,55.845
1635919200000,55.879999999999995
1635920100000,55.87
1635921000000,55.905
1635921900000,55.75
1635922800000,55.715
1635923700000,55.96
1635924600000,56.015
1635925500000,55.925
1635926400000,56.265
1635927300000,56.21
1635928200000,55.91
1635929100000,55.99
1635930000000,55.980000000000004
1635930900000,56.224999999999994
1635931800000,56.185
1635932700000,56.36
1635933600000,56.254999999999995
1635934500000,56.22
1635935400000,56.04
1635936300000,55.885000000000005
1635937200000,55.52
1635938100000,55.39
1635939000000,55.565
1635939900000,55.575
1635940800000,55.2
1635941700000,54.644999999999996
1635942600000,54.215
1635943500000,53.745000000000005
1635944400000,53.98
1635945300000,54.084999999999994
1635946200000,53.795
1635947100000,53.53
1635948000000,53.675
1635948900000,54.04
1635949800000,53.84
1635950700000,53.870000000000005
1635951600000,53.735
1635952500000,53.85
1635953400000,54.004999999999995
1635954300000,54.06
1635955200000,54.224999999999994
1635956100000,54.25
1635957000000,54.095
1635957900000,53.96
1635958800000,53.97
1635959700000,54.18
1635960600000,54.325
1635961500000,54.26
1635962400000,54.295
1635963300000,55.065
1635964200000,55.09
1635965100000,55.43000000000001
1635966000000,55.675
1635966900000,55.705
1635967800000,55.57
1635968700000,55.455
1635969600000,55.415
1635970500000,55.504999999999995
1635971400000,55.39
1635972300000,55.504999999999995
1635973200000,55.685
1635974100000,55.66
1635975000000,55.855000000000004
1635975900000,56.0
1635976800000,55.81
1635977700000,55.625
1635978600000,55.495000000000005
1635979500000,55.485
1635980400000,55.5
1635981300000,55.459999999999994
1635982200000,55.58
1635983100000,55.55
1635984000000,55.855000000000004
1635984900000,55.855000000000004
1635985800000,55.46
1635986700000,55.175
1635987600000,55.24
1635988500000,55.17
1635989400000,55.28
1635990300000,55.58
1635991200000,55.755
1635992100000,55.760000000000005
1635993000000,55.655
1635993900000,55.465
1635994800000,55.540000000000006
1635995700000,55.325
1635996600000,55.28
1635997500000,55.205
1635998400000,55.39
1635999300000,55.36
1636000200000,55.325
1636001100000,55.394999999999996
1636002000000,55.28
1636002900000,55.13
1636003800000,54.849999999999994
1636004700000,54.705
1636005600000,54.625
1636006500000,54.785
1636007400000,54.885000000000005
1636008300000,54.959999999999994
1636009200000,54.980000000000004
1636010100000,54.849999999999994
1636011000000,54.67
1636011900000,54.25
1636012800000,54.230000000000004
1636013700000,54.489999999999995
1636014600000,54.3
1636015500000,54.17
1636016400000,54.11
1636017300000,54.3
1636018200000,54.13
1636019100000,54.25
1636020000000,54.295
1636020900000,54.29
1636021800000,54.145
1636022700000,54.345
1636023600000,54.370000000000005
1636024500000,54.26
1636025400000,53.97
1636026300000,53.91
1636027200000,54.084999999999994
1636028100000,54.2
1636029000000,54.195
1636029900000,54.28
1636030800000,54.4
1636031700000,54.305
1636032600000,54.17
1636033500000,54.28
1636034400000,54.58
1636035300000,54.425
1636036200000,54.235
1636037100000,54.099999999999994
1636038000000,53.75
