time,values
1635724800000,1.1515
1635725700000,1.1515
1635726600000,1.1515
1635727500000,1.1515
1635728400000,1.1515
1635729300000,1.1515
1635730200000,1.1515
1635731100000,1.1515
1635732000000,1.1515
1635732900000,1.1515
1635733800000,1.1515
1635734700000,1.1515
1635735600000,1.1515
1635736500000,1.1515
1635737400000,1.1515
1635738300000,1.1515
1635739200000,1.1509999999999998
1635740100000,1.1505
1635741000000,1.1505
1635741900000,1.1505
1635742800000,1.1505
1635743700000,1.1505
1635744600000,1.1505
1635745500000,1.1505
1635746400000,1.1505
1635747300000,1.1505
1635748200000,1.1505
1635749100000,1.1505
1635750000000,1.1505
1635750900000,1.1505
1635751800000,1.1505
1635752700000,1.1505
1635753600000,1.1505
1635754500000,1.1509999999999998
1635755400000,1.1515
1635756300000,1.1515
1635757200000,1.1515
1635758100000,1.1515
1635759000000,1.1515
1635759900000,1.1515
1635760800000,1.1515
1635761700000,1.1515
1635762600000,1.1515
1635763500000,1.1515
1635764400000,1.1515
1635765300000,1.1515
1635766200000,1.1515
1635767100000,1.1515
1635768000000,1.1515
1635768900000,1.1515
1635769800000,1.1515
1635770700000,1.1515
1635771600000,1.1515
1635772500000,1.1515
1635773400000,1.1515
1635774300000,1.1515
1635775200000,1.1515
1635776100000,1.1520000000000001
1635777000000,1.1524999999999999
1635777900000,1.1524999999999999
1635778800000,1.1524999999999999
1635779700000,1.1524999999999999
1635780600000,1.1524999999999999
1635781500000,1.1524999999999999
1635782400000,1.1524999999999999
1635783300000,1.1524999999999999
1635784200000,1.1524999999999999
1635785100000,1.1520000000000001
1635786000000,1.1515
1635786900000,1.1515
1635787800000,1.1515
1635788700000,1.1520000000000001
1635789600000,1.1524999999999999
1635790500000,1.1524999999999999
1635791400000,1.153
1635792300000,1.1535
1635793200000,1.154
1635794100000,1.1549999999999998
1635795000000,1.1555
1635795900000,1.1555
1635796800000,1.1555
1635797700000,1.1560000000000001
1635798600000,1.1555
1635799500000,1.1545
1635800400000,1.154
1635801300000,1.1535
1635802200000,1.1535
1635803100000,1.1535
1635804000000,1.1535
1635804900000,1.1535
1635805800000,1.1535
1635806700000,1.1535
1635807600000,1.1535
1635808500000,1.1535
1635809400000,1.1535
1635810300000,1.154
1635811200000,1.1545
1635812100000,1.1545
1635813000000,1.1545
1635813900000,1.1545
