time,values
1635724800000,203.95499999999998
1635725700000,207.555
1635726600000,207.135
1635727500000,207.265
1635728400000,209.01
1635729300000,207.70499999999998
1635730200000,206.86
1635731100000,206.0
1635732000000,206.07999999999998
1635732900000,203.02
1635733800000,200.535
1635734700000,201.31
1635735600000,201.765
1635736500000,201.89999999999998
1635737400000,203.215
1635738300000,201.95999999999998
1635739200000,199.355
1635740100000,201.26
1635741000000,202.52499999999998
1635741900000,202.91000000000003
1635742800000,202.845
1635743700000,203.775
1635744600000,204.59
1635745500000,203.73000000000002
1635746400000,202.97
1635747300000,203.70499999999998
1635748200000,206.36
1635749100000,206.775
1635750000000,208.32
1635750900000,208.29500000000002
1635751800000,208.255
1635752700000,209.05
1635753600000,210.385
1635754500000,209.39999999999998
1635755400000,207.72
1635756300000,207.2
1635757200000,208.655
1635758100000,209.51
1635759000000,209.26
1635759900000,208.13
1635760800000,207.72
1635761700000,206.745
1635762600000,206.255
1635763500000,206.24
1635764400000,206.635
1635765300000,205.875
1635766200000,205.22
1635767100000,204.75
1635768000000,205.51
1635768900000,205.415
1635769800000,204.285
1635770700000,204.515
1635771600000,203.7
1635772500000,204.32
1635773400000,204.655
1635774300000,203.945
1635775200000,203.505
1635776100000,204.09
1635777000000,203.985
1635777900000,202.42000000000002
1635778800000,202.455
1635779700000,202.67000000000002
1635780600000,203.4
1635781500000,203.29000000000002
1635782400000,203.035
1635783300000,202.815
1635784200000,202.67000000000002
1635785100000,201.62
1635786000000,200.45499999999998
1635786900000,201.20499999999998
1635787800000,201.515
1635788700000,201.2
1635789600000,200.735
1635790500000,200.055
1635791400000,199.67
1635792300000,199.64
1635793200000,201.185
1635794100000,203.32999999999998
1635795000000,203.485
1635795900000,203.425
1635796800000,204.945
1635797700000,204.685
1635798600000,203.04000000000002
1635799500000,202.45499999999998
1635800400000,201.675
1635801300000,202.07
1635802200000,201.89499999999998
1635803100000,202.385
1635804000000,203.14999999999998
1635804900000,203.60000000000002
1635805800000,204.485
1635806700000,203.93
1635807600000,203.815
1635808500000,203.54
1635809400000,203.62
1635810300000,203.70499999999998
1635811200000,203.19
1635812100000,203.38
1635813000000,201.965
1635813900000,201.665
1635814800000,201.66500000000002
1635815700000,203.07999999999998
1635816600000,203.09
1635817500000,202.035
1635818400000,202.595
1635819300000,202.11
1635820200000,202.69
1635821100000,202.54500000000002
1635822000000,203.20999999999998
1635822900000,203.48000000000002
1635823800000,203.58999999999997
1635824700000,204.195
1635825600000,203.97
1635826500000,204.075
1635827400000,204.505
1635828300000,204.5
1635829200000,204.095
1635830100000,203.91500000000002
1635831000000,204.725
1635831900000,205.16
1635832800000,205.25
1635833700000,204.445
1635834600000,204.45
1635835500000,204.0
1635836400000,204.01
1635837300000,203.645
1635838200000,203.405
1635839100000,203.175
1635840000000,202.95999999999998
1635840900000,202.98000000000002
1635841800000,202.755
1635842700000,203.425
1635843600000,203.18
1635844500000,203.31
1635845400000,204.315
1635846300000,205.555
1635847200000,206.32
1635848100000,206.79000000000002
1635849000000,206.885
1635849900000,206.10000000000002
1635850800000,206.585
1635851700000,206.86
1635852600000,205.75
1635853500000,204.695
1635854400000,204.99
1635855300000,205.09
1635856200000,205.07
1635857100000,204.86
1635858000000,205.10500000000002
1635858900000,205.4
1635859800000,205.525
1635860700000,205.63
1635861600000,205.615
1635862500000,204.565
1635863400000,204.15
1635864300000,204.27499999999998
1635865200000,204.44
1635866100000,204.97
1635867000000,205.535
1635867900000,207.37
1635868800000,208.405
1635869700000,207.72
1635870600000,208.47000000000003
1635871500000,210.44
1635872400000,211.99
1635873300000,212.6
1635874200000,211.165
1635875100000,212.66
1635876000000,215.035
1635876900000,215.175
1635877800000,213.32
1635878700000,212.265
1635879600000,212.57999999999998
1635880500000,213.44
1635881400000,214.4
1635882300000,215.845
1635883200000,215.87
1635884100000,216.32
1635885000000,215.825
